"성씨, 본관별","행정구역별(시군구)",2015
"당(唐)","울산광역시",11
"당(唐)","경기도",443
"당(唐)","강원도",33
"당(唐)","충청북도",26
"당(唐)","충청남도",35
"당(唐)","전라북도",36
"당(唐)","경상북도",14
"당(唐)","경상남도",8
"당(唐)","제주특별자치도",17
"도(都)","전국",56850
"도(都)","서울특별시",8834
"도(都)","부산광역시",4744
"도(都)","대구광역시",9607
"도(都)","인천광역시",1949
"도(都)","광주광역시",313
"도(都)","대전광역시",1843
"도(都)","울산광역시",1722
"도(都)","세종특별자치시",199
"도(都)","경기도",10467
"도(都)","강원도",1174
"도(都)","충청북도",1278
"도(都)","충청남도",2134
"도(都)","전라북도",1140
"도(都)","전라남도",787
"도(都)","경상북도",6457
"도(都)","경상남도",4050
"도(都)","제주특별자치도",152
"도(陶)","전국",1037
"도(陶)","서울특별시",277
"도(陶)","인천광역시",105
"도(陶)","광주광역시",13
"도(陶)","대전광역시",25
"도(陶)","울산광역시",23
"도(陶)","경기도",453
"도(陶)","강원도",17
"도(陶)","충청북도",14
"도(陶)","충청남도",43
"도(陶)","전라북도",23
"도(陶)","전라남도",8
"도(陶)","경상북도",9
"도(陶)","경상남도",14
"동(董)","전국",5462
"동(董)","서울특별시",1234
"동(董)","부산광역시",609
"동(董)","대구광역시",81
"동(董)","인천광역시",276
"동(董)","광주광역시",69
"동(董)","대전광역시",138
"동(董)","울산광역시",103
"동(董)","세종특별자치시",22
"동(董)","경기도",1499
"동(董)","강원도",215
"동(董)","충청북도",137
"동(董)","충청남도",108
"동(董)","전라북도",288
"동(董)","전라남도",48
"동(董)","경상북도",100
"동(董)","경상남도",515
"동(董)","제주특별자치도",20
"두(杜)","전국",6428
"두(杜)","서울특별시",1337
"두(杜)","부산광역시",143
"두(杜)","대구광역시",106
"두(杜)","인천광역시",425
"두(杜)","광주광역시",73
"두(杜)","대전광역시",179
"두(杜)","울산광역시",41
"두(杜)","세종특별자치시",12
"두(杜)","경기도",1694
"두(杜)","강원도",76
"두(杜)","충청북도",82
"두(杜)","충청남도",176
"두(杜)","전라북도",1731
"두(杜)","전라남도",68
"두(杜)","경상북도",109
"두(杜)","경상남도",163
"두(杜)","제주특별자치도",13
"라(羅)","전국",25960
"라(羅)","서울특별시",5111
"라(羅)","부산광역시",994
"라(羅)","대구광역시",1269
"라(羅)","인천광역시",1566
"라(羅)","광주광역시",419
"라(羅)","대전광역시",1137
"라(羅)","울산광역시",462
"라(羅)","세종특별자치시",114
"라(羅)","경기도",7153
"라(羅)","강원도",868
"라(羅)","충청북도",891
"라(羅)","충청남도",1036
"라(羅)","전라북도",2386
"라(羅)","전라남도",812
"라(羅)","경상북도",851
"라(羅)","경상남도",673
"라(羅)","제주특별자치도",218
"류(柳)","전국",163703
"류(柳)","서울특별시",27255
"류(柳)","부산광역시",12933
"류(柳)","대구광역시",16908
"류(柳)","인천광역시",6974
"류(柳)","광주광역시",6471
"류(柳)","대전광역시",5995
"류(柳)","울산광역시",6505
"류(柳)","세종특별자치시",663
"류(柳)","경기도",31227
"류(柳)","강원도",2478
"류(柳)","충청북도",4807
"류(柳)","충청남도",5384
"류(柳)","전라북도",3920
"류(柳)","전라남도",6552
"류(柳)","경상북도",11800
"류(柳)","경상남도",13190
"류(柳)","제주특별자치도",641
"마(馬)","전국",38949
"마(馬)","서울특별시",8118
"마(馬)","부산광역시",2370
"마(馬)","대구광역시",1999
"마(馬)","인천광역시",2178
"마(馬)","광주광역시",2108
"마(馬)","대전광역시",655
"마(馬)","울산광역시",717
"마(馬)","세종특별자치시",106
"마(馬)","경기도",9517
"마(馬)","강원도",1295
"마(馬)","충청북도",952
"마(馬)","충청남도",977
"마(馬)","전라북도",1118
"마(馬)","전라남도",2779
"마(馬)","경상북도",1998
"마(馬)","경상남도",1725
"마(馬)","제주특별자치도",337
"맹(孟)","전국",22028
"맹(孟)","서울특별시",4912
"맹(孟)","부산광역시",605
"맹(孟)","대구광역시",278
"맹(孟)","인천광역시",1624
"맹(孟)","광주광역시",390
"맹(孟)","대전광역시",710
"맹(孟)","울산광역시",207
"맹(孟)","세종특별자치시",106
"맹(孟)","경기도",6777
"맹(孟)","강원도",599
"맹(孟)","충청북도",772
"맹(孟)","충청남도",3108
"맹(孟)","전라북도",295
"맹(孟)","전라남도",631
"맹(孟)","경상북도",442
"맹(孟)","경상남도",503
"맹(孟)","제주특별자치도",69
"명(明)","전국",29110
"명(明)","서울특별시",6242
"명(明)","부산광역시",1497
"명(明)","대구광역시",312
"명(明)","인천광역시",2090
"명(明)","광주광역시",1063
"명(明)","대전광역시",1267
"명(明)","울산광역시",312
"명(明)","세종특별자치시",120
"명(明)","경기도",7480
"명(明)","강원도",405
"명(明)","충청북도",414
"명(明)","충청남도",3027
"명(明)","전라북도",401
"명(明)","전라남도",2446
"명(明)","경상북도",477
"명(明)","경상남도",1372
"명(明)","제주특별자치도",185
"모(牟)","전국",21534
"모(牟)","서울특별시",4393
"모(牟)","부산광역시",890
"모(牟)","대구광역시",467
"모(牟)","인천광역시",1425
"모(牟)","광주광역시",1397
"모(牟)","대전광역시",425
"모(牟)","울산광역시",247
"모(牟)","세종특별자치시",70
"모(牟)","경기도",5671
"모(牟)","강원도",262
"모(牟)","충청북도",590
"모(牟)","충청남도",964
"모(牟)","전라북도",1376
"모(牟)","전라남도",1452
"모(牟)","경상북도",798
"모(牟)","경상남도",961
"모(牟)","제주특별자치도",146
"목(睦)","전국",8848
"목(睦)","서울특별시",1802
"목(睦)","부산광역시",346
"목(睦)","대구광역시",97
"목(睦)","인천광역시",557
"목(睦)","광주광역시",60
"목(睦)","대전광역시",387
"목(睦)","울산광역시",92
"목(睦)","세종특별자치시",32
"목(睦)","경기도",3421
"목(睦)","강원도",375
"목(睦)","충청북도",308
"목(睦)","충청남도",343
"목(睦)","전라북도",86
"목(睦)","전라남도",87
"목(睦)","경상북도",133
"목(睦)","경상남도",688
"목(睦)","제주특별자치도",34
"문(文)","전국",464040
"문(文)","서울특별시",87798
"문(文)","부산광역시",37741
"문(文)","대구광역시",17480
"문(文)","인천광역시",26819
"문(文)","광주광역시",23544
"문(文)","대전광역시",11317
"문(文)","울산광역시",8368
"문(文)","세종특별자치시",1328
"문(文)","경기도",104159
"문(文)","강원도",8856
"문(文)","충청북도",7778
"문(文)","충청남도",16972
"문(文)","전라북도",21231
"문(文)","전라남도",25580
"문(文)","경상북도",16865
"문(文)","경상남도",34124
"문(文)","제주특별자치도",14080
"민(閔)","전국",171740
"민(閔)","서울특별시",38041
"민(閔)","부산광역시",8631
"민(閔)","대구광역시",4967
"민(閔)","인천광역시",11354
"민(閔)","광주광역시",4798
"민(閔)","대전광역시",8283
"민(閔)","울산광역시",2493
"민(閔)","세종특별자치시",955
"민(閔)","경기도",48402
"민(閔)","강원도",5837
"민(閔)","충청북도",9444
"민(閔)","충청남도",6581
"민(閔)","전라북도",2773
"민(閔)","전라남도",4186
"민(閔)","경상북도",5779
"민(閔)","경상남도",8514
"민(閔)","제주특별자치도",702
"박(朴)","전국",4192074
"박(朴)","서울특별시",783548
"박(朴)","부산광역시",314118
"박(朴)","대구광역시",216436
"박(朴)","인천광역시",226438
"박(朴)","광주광역시",139253
"박(朴)","대전광역시",127032
"박(朴)","울산광역시",106167
"박(朴)","세종특별자치시",16050
"박(朴)","경기도",979100
"박(朴)","강원도",119678
"박(朴)","충청북도",125342
"박(朴)","충청남도",160932
"박(朴)","전라북도",146891
"박(朴)","전라남도",178935
"박(朴)","경상북도",226129
"박(朴)","경상남도",295499
"박(朴)","제주특별자치도",30526
"반(潘)","전국",28062
"반(潘)","서울특별시",5252
"반(潘)","부산광역시",2208
"반(潘)","대구광역시",1110
"반(潘)","인천광역시",1465
"반(潘)","광주광역시",933
"반(潘)","대전광역시",601
"반(潘)","울산광역시",497
"반(潘)","세종특별자치시",98
"반(潘)","경기도",5831
"반(潘)","강원도",929
"반(潘)","충청북도",2754
"반(潘)","충청남도",598
"반(潘)","전라북도",885
"반(潘)","전라남도",763
"반(潘)","경상북도",1418
"반(潘)","경상남도",2627
"반(潘)","제주특별자치도",93
"방(房)","전국",33520
"방(房)","서울특별시",6605
"방(房)","부산광역시",2253
"방(房)","대구광역시",654
"방(房)","인천광역시",1673
"방(房)","광주광역시",1999
"방(房)","대전광역시",900
"방(房)","울산광역시",638
"방(房)","세종특별자치시",91
"방(房)","경기도",8068
"방(房)","강원도",975
"방(房)","충청북도",589
"방(房)","충청남도",807
"방(房)","전라북도",2815
"방(房)","전라남도",2232
"방(房)","경상북도",1356
"방(房)","경상남도",1645
"방(房)","제주특별자치도",220
"방(方)","전국",94831
"방(方)","서울특별시",18702
"방(方)","부산광역시",4916
"방(方)","대구광역시",4786
"방(方)","인천광역시",8191
"방(方)","광주광역시",941
"방(方)","대전광역시",2477
"방(方)","울산광역시",1814
"방(方)","세종특별자치시",417
"방(方)","경기도",27403
"방(方)","강원도",3674
"방(方)","충청북도",3005
"방(方)","충청남도",6402
"방(方)","전라북도",1158
"방(方)","전라남도",1463
"방(方)","경상북도",4641
"방(方)","경상남도",4300
"방(方)","제주특별자치도",541
"배(裵)","전국",400641
"배(裵)","서울특별시",66743
"배(裵)","부산광역시",37197
"배(裵)","대구광역시",40258
"배(裵)","인천광역시",19044
"배(裵)","광주광역시",10353
"배(裵)","대전광역시",11310
"배(裵)","울산광역시",10206
"배(裵)","세종특별자치시",1451
"배(裵)","경기도",77899
"배(裵)","강원도",7553
"배(裵)","충청북도",10138
"배(裵)","충청남도",11525
"배(裵)","전라북도",11974
"배(裵)","전라남도",15446
"배(裵)","경상북도",29980
"배(裵)","경상남도",37735
"배(裵)","제주특별자치도",1829
"백(白)","전국",381986
"백(白)","서울특별시",73337
"백(白)","부산광역시",26982
"백(白)","대구광역시",22265
"백(白)","인천광역시",20925
"백(白)","광주광역시",11421
"백(白)","대전광역시",11880
"백(白)","울산광역시",7626
"백(白)","세종특별자치시",1476
"백(白)","경기도",91778
"백(白)","강원도",8831
"백(白)","충청북도",8383
"백(白)","충청남도",16648
"백(白)","전라북도",16124
"백(白)","전라남도",13124
"백(白)","경상북도",19922
"백(白)","경상남도",27710
"백(白)","제주특별자치도",3554
"범(范)","전국",3826
"범(范)","서울특별시",831
"범(范)","부산광역시",58
"범(范)","대구광역시",35
"범(范)","인천광역시",122
"범(范)","광주광역시",1229
"범(范)","대전광역시",46
"범(范)","울산광역시",39
"범(范)","세종특별자치시",23
"범(范)","경기도",757
"범(范)","강원도",36
"범(范)","충청북도",42
"범(范)","충청남도",51
"범(范)","전라북도",171
"범(范)","전라남도",275
"범(范)","경상북도",37
"범(范)","경상남도",52
"범(范)","제주특별자치도",22
"변(卞)","전국",78156
"변(卞)","서울특별시",12518
"변(卞)","부산광역시",9015
"변(卞)","대구광역시",6158
"변(卞)","인천광역시",3118
"변(卞)","광주광역시",1140
"변(卞)","대전광역시",1874
"변(卞)","울산광역시",2730
"변(卞)","세종특별자치시",333
"변(卞)","경기도",15237
"변(卞)","강원도",1595
"변(卞)","충청북도",4378
"변(卞)","충청남도",2733
"변(卞)","전라북도",1440
"변(卞)","전라남도",1656
"변(卞)","경상북도",4607
"변(卞)","경상남도",9370
"변(卞)","제주특별자치도",254
"변(邊)","전국",60633
"변(邊)","서울특별시",13591
"변(邊)","부산광역시",2072
"변(邊)","대구광역시",1447
"변(邊)","인천광역시",4484
"변(邊)","광주광역시",1546
"변(邊)","대전광역시",1934
"변(邊)","울산광역시",823
"변(邊)","세종특별자치시",238
"변(邊)","경기도",17444
"변(邊)","강원도",4796
"변(邊)","충청북도",1813
"변(邊)","충청남도",1949
"변(邊)","전라북도",1736
"변(邊)","전라남도",1046
"변(邊)","경상북도",2138
"변(邊)","경상남도",1266
"변(邊)","제주특별자치도",2310
"복(卜)","전국",9538
"복(卜)","서울특별시",1973
"복(卜)","부산광역시",228
"복(卜)","대구광역시",417
"복(卜)","인천광역시",616
"복(卜)","광주광역시",71
"복(卜)","대전광역시",558
"복(卜)","울산광역시",296
"복(卜)","세종특별자치시",59
"복(卜)","경기도",2433
"복(卜)","강원도",82
"복(卜)","충청북도",147
"복(卜)","충청남도",1790
"복(卜)","전라북도",296
"복(卜)","전라남도",69
"복(卜)","경상북도",315
"복(卜)","경상남도",158
"복(卜)","제주특별자치도",30
"봉(奉)","전국",12927
"봉(奉)","서울특별시",2871
"봉(奉)","부산광역시",278
"봉(奉)","대구광역시",143
"봉(奉)","인천광역시",977
"봉(奉)","광주광역시",988
"봉(奉)","대전광역시",378
"봉(奉)","울산광역시",126
"봉(奉)","세종특별자치시",44
"봉(奉)","경기도",4186
"봉(奉)","강원도",187
"봉(奉)","충청북도",793
